	G1-139	G1-140	G1-141	G1-142	G1-143	G1-144	G1-187	G1-188	G1-189	G1-190	G1-192	G2-213	G2-214	G2-215	G2-216	G2-217	G2-218	G2-219	G2-220	G2-221	G2-222	G2-223	G2-224
G1-139	0.0	0.015743118847305896	0.06650569986049261	0.056652889181575815	0.06877225600093824	0.023966731470558895	0.10364457282186834	0.003954733445410042	0.09740337321033332	0.08806168394305794	0.08308804339242447	0.06920427237426477	0.04489586667664972	0.06416537060917185	0.06408904503369295	0.06853380822555927	0.07285508902423167	0.041661391532967655	0.0329122855521031	0.03789598382935183	0.03946115181473589	0.018555114071713515	0.0447893046582058
G1-140	0.015743118847305896	0.0	0.08163242123698007	0.07101014459617712	0.053831518389050904	0.038310162865131316	0.08841147207274559	0.01885246738355505	0.08208508829184451	0.0727433990245691	0.06823823274340907	0.0842464858693087	0.059329435425769336	0.079165330163494	0.07895582368442146	0.08353376777988139	0.08780083184696065	0.056176938740018355	0.04759419312631461	0.022793455252296185	0.054147520111820564	0.00380323308013058	0.059171670961662814
G1-141	0.06650569986049261	0.08163242123698007	0.0	0.012572467673448945	0.1295534160767267	0.049394938314298184	0.16972399024027993	0.06504804343246276	0.1619617040360265	0.15211568463695152	0.14344807569341525	0.004308707620991799	0.024011625844304597	0.0034774560218712456	0.0030446867799782526	0.0034155392295053175	0.007827801248418104	0.027739194985904488	0.039373851623362946	0.10149845374687258	0.03387534098825967	0.08257903877395434	0.02361053718403186
G1-142	0.056652889181575815	0.07101014459617712	0.012572467673448945	0.0	0.11865830528080686	0.03682247064084925	0.15918475724681996	0.054951367641340766	0.1517803260176715	0.14247095739619808	0.13308303147634537	0.01605909317644209	0.012901589696513649	0.010581884680704179	0.010114712407166545	0.01522686847959098	0.019302698755604624	0.01802969059961666	0.02966434602994669	0.09178894694632789	0.02409924494304658	0.0732627470361943	0.013235128279775767
G1-143	0.06877225600093824	0.053831518389050904	0.1295534160767267	0.11865830528080686	0.0	0.08243400310437712	0.0509348782220222	0.0704447493285521	0.04307631920263302	0.03253650863439869	0.0145286837725284	0.13239037191757141	0.10579440019684487	0.12694331671799944	0.1267427758176762	0.13159062156095172	0.13591821602251955	0.10735869471868383	0.09868358153595284	0.04529847153965204	0.1056664845730795	0.05226727121597753	0.10984849603842069
G1-144	0.023966731470558895	0.038310162865131316	0.049394938314298184	0.03682247064084925	0.08243400310437712	0.0	0.12532354953476052	0.02166386217406423	0.1176288121903183	0.10766971083461606	0.09685872929991562	0.052881563817291324	0.025509509041813712	0.04740435532155342	0.046937183048015786	0.052049339120440234	0.056125169396453865	0.02825438623153785	0.019579273048806887	0.05698770060330672	0.02656217630113193	0.040576590737416776	0.03074418755127474
G1-187	0.10364457282186834	0.08841147207274559	0.16972399024027993	0.15918475724681996	0.0509348782220222	0.12532354953476052	0.0	0.10517428097331417	0.008829569484996906	0.03804128170704045	0.039262249603307514	0.17222702251423797	0.1467367114430196	0.1671365657913328	0.1669270593122602	0.1716253367831812	0.17579532001752568	0.1435720838067911	0.13416846492534523	0.08307788523620678	0.14131010136592465	0.08800995731074847	0.14639743013558232
G1-188	0.003954733445410042	0.01885246738355505	0.06504804343246276	0.054951367641340766	0.0704447493285521	0.02166386217406423	0.10517428097331417	0.0	0.09827981108181798	0.08861384859223699	0.0844381328759391	0.06759448142700322	0.042592996754734776	0.06246321744172796	0.06263372821174895	0.06680770090788035	0.07135227106860292	0.03919178015330296	0.030235831974047563	0.03866190391664533	0.03711743444034197	0.021392633900250195	0.04205727052481278
G1-189	0.09740337321033332	0.08208508829184451	0.1619617040360265	0.1517803260176715	0.04307631920263302	0.1176288121903183	0.008829569484996906	0.09827981108181798	0.0	0.02960024409776024	0.031032870520307454	0.16427864852944102	0.13932518642596756	0.15919749282362639	0.15934235320589366	0.1638065972043857	0.16808485021298264	0.13629894835380235	0.12684229739486774	0.07553974737349478	0.13398985958125595	0.08046697648668745	0.13901845495537254
G1-190	0.08806168394305794	0.0727433990245691	0.15211568463695152	0.14247095739619808	0.03253650863439869	0.10766971083461606	0.03804128170704045	0.08861384859223699	0.02960024409776024	0.0	0.023537548245670118	0.15479076038278528	0.1300158178044942	0.14897503138073515	0.15003298458442024	0.15404766297240324	0.158761156018207	0.12568774552233544	0.11655938156497685	0.06204924325987621	0.12429798362600561	0.0708319325095407	0.12987550136889026
G1-192	0.08308804339242447	0.06823823274340907	0.14344807569341525	0.13308303147634537	0.0145286837725284	0.09685872929991562	0.039262249603307514	0.0844381328759391	0.031032870520307454	0.023537548245670118	0.0	0.14630969039108394	0.12021912639238334	0.14020244787352873	0.14102399125142046	0.14528568078657325	0.15006422610073109	0.12096081417959104	0.11204503423248809	0.05875184274862756	0.11904031060985877	0.06602855321432141	0.12423166340932924
G2-213	0.06920427237426477	0.0842464858693087	0.004308707620991799	0.01605909317644209	0.13239037191757141	0.052881563817291324	0.17222702251423797	0.06759448142700322	0.16427864852944102	0.15479076038278528	0.14630969039108394	0.0	0.027372054775477613	0.006393286671038958	0.0059532948299625636	0.001625925060328575	0.004649654779957713	0.030672801153940873	0.04206679138681214	0.10431172734980436	0.03650169028646214	0.08532524812388527	0.026201053817443355
G2-214	0.04489586667664972	0.059329435425769336	0.024011625844304597	0.012901589696513649	0.10579440019684487	0.025509509041813712	0.1467367114430196	0.042592996754734776	0.13932518642596756	0.1300158178044942	0.12021912639238334	0.027372054775477613	0.0	0.02193252960782599	0.021465357334288365	0.026539830078626515	0.03065334368272643	0.006044569148208697	0.01726450219892318	0.07933380735462399	0.01199661927768097	0.06150572406388422	0.005234678509461029
G2-215	0.06416537060917185	0.079165330163494	0.0034774560218712456	0.010581884680704179	0.12694331671799944	0.04740435532155342	0.1671365657913328	0.06246321744172796	0.15919749282362639	0.14897503138073515	0.14020244787352873	0.006393286671038958	0.02193252960782599	0.0	0.0015058155196760752	0.0054285755268527166	0.010226608031634289	0.024854092888294183	0.036248083070728326	0.09849301896647102	0.03094630050166437	0.07994430798396268	0.02111989834700204
G2-216	0.06408904503369295	0.07895582368442146	0.0030446867799782526	0.010114712407166545	0.1267427758176762	0.046937183048015786	0.1669270593122602	0.06263372821174895	0.15934235320589366	0.15003298458442024	0.14102399125142046	0.0059532948299625636	0.021465357334288365	0.0015058155196760752	0.0	0.005250369094046883	0.009230445746658374	0.025712048285021494	0.037226371775667184	0.09935097413455007	0.03166127068876708	0.0803852310597234	0.0209174859651806
G2-217	0.06853380822555927	0.08353376777988139	0.0034155392295053175	0.01522686847959098	0.13159062156095172	0.052049339120440234	0.1716253367831812	0.06680770090788035	0.1638065972043857	0.15404766297240324	0.14528568078657325	0.001625925060328575	0.026539830078626515	0.0054285755268527166	0.005250369094046883	0.0	0.005144603199760263	0.029627188749022215	0.0412618457563529	0.10333854003668909	0.035696744656002886	0.08428508469200852	0.025488335707841224
G2-218	0.07285508902423167	0.08780083184696065	0.007827801248418104	0.019302698755604624	0.13591821602251955	0.056125169396453865	0.17579532001752568	0.07135227106860292	0.16808485021298264	0.158761156018207	0.15006422610073109	0.004649654779957713	0.03065334368272643	0.010226608031634289	0.009230445746658374	0.005144603199760263	0.0	0.03445454498276278	0.04596886856083283	0.10806951699140402	0.04040376746048283	0.08910006715847078	0.029755399869069752
G2-219	0.041661391532967655	0.056176938740018355	0.027739194985904488	0.01802969059961666	0.10735869471868383	0.02825438623153785	0.1435720838067911	0.03919178015330296	0.13629894835380235	0.12568774552233544	0.12096081417959104	0.030672801153940873	0.006044569148208697	0.024854092888294183	0.025712048285021494	0.029627188749022215	0.03445454498276278	0.0	0.01220769723291922	0.07535511825805759	0.00726011322762424	0.05797234850064439	0.004977873071869784
G2-220	0.0329122855521031	0.04759419312631461	0.039373851623362946	0.02966434602994669	0.09868358153595284	0.019579273048806887	0.13416846492534523	0.030235831974047563	0.12684229739486774	0.11655938156497685	0.11204503423248809	0.04206679138681214	0.01726450219892318	0.036248083070728326	0.037226371775667184	0.0412618457563529	0.04596886856083283	0.01220769723291922	0.0	0.0659739056671112	0.007956421148919465	0.04964698971692948	0.01645643163567187
G2-221	0.03789598382935183	0.022793455252296185	0.10149845374687258	0.09178894694632789	0.04529847153965204	0.05698770060330672	0.08307788523620678	0.03866190391664533	0.07553974737349478	0.06204924325987621	0.05875184274862756	0.10431172734980436	0.07933380735462399	0.09849301896647102	0.09935097413455007	0.10333854003668909	0.10806951699140402	0.07535511825805759	0.0659739056671112	0.0	0.07345152322400682	0.021765622448830964	0.07934938646935678
G2-222	0.03946115181473589	0.054147520111820564	0.03387534098825967	0.02409924494304658	0.1056664845730795	0.02656217630113193	0.14131010136592465	0.03711743444034197	0.13398985958125595	0.12429798362600561	0.11904031060985877	0.03650169028646214	0.01199661927768097	0.03094630050166437	0.03166127068876708	0.035696744656002886	0.04040376746048283	0.00726011322762424	0.007956421148919465	0.07345152322400682	0.0	0.05634831685856678	0.010864119017003146
G2-223	0.018555114071713515	0.00380323308013058	0.08257903877395434	0.0732627470361943	0.05226727121597753	0.040576590737416776	0.08800995731074847	0.021392633900250195	0.08046697648668745	0.0708319325095407	0.06602855321432141	0.08532524812388527	0.06150572406388422	0.07994430798396268	0.0803852310597234	0.08428508469200852	0.08910006715847078	0.05797234850064439	0.04964698971692948	0.021765622448830964	0.05634831685856678	0.0	0.06134519443232278
G2-224	0.0447893046582058	0.059171670961662814	0.02361053718403186	0.013235128279775767	0.10984849603842069	0.03074418755127474	0.14639743013558232	0.04205727052481278	0.13901845495537254	0.12987550136889026	0.12423166340932924	0.026201053817443355	0.005234678509461029	0.02111989834700204	0.0209174859651806	0.025488335707841224	0.029755399869069752	0.004977873071869784	0.01645643163567187	0.07934938646935678	0.010864119017003146	0.06134519443232278	0.0
