	G1-11	G1-12	G1-130	G1-131	G1-132	G1-15	G1-177	G1-178	G1-193	G2-194	G3-419	G3-420	G3-421	G3-422	G3-423	G3-424	G3-425	G3-426	G3-427	G3-428	G3-429	G3-430
G1-11	0.0	0.1364769228272379	0.2423232731795919	0.15486897697993585	0.24524566039515242	0.06292906395908698	0.11248912780124311	0.060300088617268995	0.10808690813177305	0.03281810397197698	0.08535914773188069	0.07519246905044685	0.026763234083640397	0.07644375535384385	0.0552348582913815	0.0786327203695708	0.04953452751579241	0.02150672833661361	0.061123262411790724	0.05167747064471456	0.12551089798551618	0.07087323206144569
G1-12	0.1364769228272379	0.0	0.26360178034749393	0.10170395072315729	0.2664970632098465	0.14493973392997853	0.21467845611216693	0.1613610128919526	0.03335379970969051	0.11271701903996671	0.0719651480186681	0.17673694032168702	0.13757053255821727	0.1777242070696794	0.14147256557713808	0.08699760510701621	0.17374407212158682	0.14436212263984494	0.16406239939636266	0.15397319401188794	0.22886353758960007	0.17261656281480978
G1-130	0.2423232731795919	0.26360178034749393	0.0	0.17595535054546085	0.0050034263860477815	0.2575190943789284	0.287224225339426	0.2819684955762564	0.26792205580354983	0.2742676009235693	0.27784915133541477	0.28440456975719836	0.26677016511161733	0.28549442264173436	0.28519537240068166	0.27478742776193377	0.25890597334616017	0.25713414211735747	0.2809621940423699	0.28086501629510585	0.2867724214970018	0.2836235636943078
G1-131	0.15486897697993585	0.10170395072315729	0.17595535054546085	0.0	0.17844989535241465	0.17987229722313666	0.26489484748876296	0.2134186050663235	0.1057435667473388	0.1635524624254074	0.11170935849378286	0.2271750274173306	0.17111189687006173	0.22834809398211348	0.18780379206230793	0.12206614557951813	0.20246965619080182	0.1752774627839174	0.21406876661138582	0.2042264474151564	0.2786066677960743	0.2232967818531205
G1-132	0.24524566039515242	0.2664970632098465	0.0050034263860477815	0.17844989535241465	0.0	0.258836688551518	0.2901184128843676	0.28486268312119817	0.27087544982620493	0.2772209949462243	0.2807433388803565	0.28729875730214005	0.2696643526565591	0.28838861018667616	0.28808955994562335	0.27605816890845153	0.2618593673688153	0.2600875361400125	0.2839155880650249	0.28381841031776095	0.2897273050817667	0.2865769577169628
G1-15	0.06292906395908698	0.14493973392997853	0.2575190943789284	0.17987229722313666	0.258836688551518	0.0	0.12233490971598482	0.08759899904986679	0.11670712038697706	0.061749896102735395	0.09119070550568331	0.09523565218900777	0.06637887801353934	0.09649166934349733	0.06646449673033887	0.07333618663481627	0.08181134543019683	0.06781122005686642	0.08806248854287979	0.08313303833995594	0.13647954553239644	0.09337980997891064
G1-177	0.11248912780124311	0.21467845611216693	0.287224225339426	0.26489484748876296	0.2901184128843676	0.12233490971598482	0.0	0.05376463326439512	0.18648587041846929	0.10497744365001453	0.16082403837594236	0.04008308189360212	0.10159345173314394	0.03959146313797052	0.11243359172582909	0.1540347845204674	0.06464489307431226	0.09206544463336044	0.05290782851276538	0.0633195744371256	0.02261015905971103	0.04425169322587079
G1-178	0.060300088617268995	0.1613610128919526	0.2819684955762564	0.2134186050663235	0.28486268312119817	0.08759899904986679	0.05376463326439512	0.0	0.1342252455291558	0.05298683000039309	0.1099507843424413	0.01749787341281567	0.051150134769491956	0.01882986418986781	0.066980405864407	0.10194819994834928	0.02637736505091366	0.03987640822893908	0.00582765040831743	0.010577898058867177	0.0700521973744432	0.013453869923712246
G1-193	0.10808690813177305	0.03335379970969051	0.26792205580354983	0.1057435667473388	0.27087544982620493	0.11670712038697706	0.18648587041846929	0.1342252455291558	0.0	0.08309755896339498	0.0446430361386817	0.14936781574088498	0.1087505399588542	0.15066696682054745	0.11302434147591957	0.059932085641052804	0.14431809005872856	0.1152649955858925	0.13501824682833152	0.1256662090439828	0.20050397150188817	0.14489954805331404
G2-194	0.03281810397197698	0.11271701903996671	0.2742676009235693	0.1635524624254074	0.2772209949462243	0.061749896102735395	0.10497744365001453	0.05298683000039309	0.08309755896339498	0.0	0.06192244145864756	0.06769520963919169	0.026350012872768714	0.06899999077253965	0.031033959406265493	0.05554518429621622	0.061502922827855924	0.032697535577522724	0.05312143001670377	0.0437330038240156	0.11812968951822421	0.06326635232741849
G3-419	0.08535914773188069	0.0719651480186681	0.27784915133541477	0.11170935849378286	0.2807433388803565	0.09119070550568331	0.16082403837594236	0.1099507843424413	0.0446430361386817	0.06192244145864756	0.0	0.12319518698868767	0.0788644774515014	0.12407615552057526	0.0849062834864398	0.019357091224093747	0.12118354792469749	0.09308387090496827	0.11157047843268837	0.10152101432293376	0.1756621402334125	0.12026116087393801
G3-420	0.07519246905044685	0.17673694032168702	0.28440456975719836	0.2271750274173306	0.28729875730214005	0.09523565218900777	0.04008308189360212	0.01749787341281567	0.14936781574088498	0.06769520963919169	0.12319518698868767	0.0	0.06485698598612569	0.0019325255079347713	0.07823692912792593	0.11564373765439136	0.027570413487464675	0.05478265400810826	0.014922329229247848	0.024783018805625338	0.05451375811150153	0.005256221261622428
G3-421	0.026763234083640397	0.13757053255821727	0.26677016511161733	0.17111189687006173	0.2696643526565591	0.06637887801353934	0.10159345173314394	0.051150134769491956	0.1087505399588542	0.026350012872768714	0.0788644774515014	0.06485698598612569	0.0	0.06630838728055351	0.04126616326003419	0.072208209646052	0.049661841514154266	0.023103245779181002	0.05206083664751705	0.042757421496602034	0.11571075808544311	0.061579762722683125
G3-422	0.07644375535384385	0.1777242070696794	0.28549442264173436	0.22834809398211348	0.28838861018667616	0.09649166934349733	0.03959146313797052	0.01882986418986781	0.15066696682054745	0.06899999077253965	0.12407615552057526	0.0019325255079347713	0.06630838728055351	0.0	0.07973601867216773	0.11620338103294199	0.02898303285678662	0.055687626596707375	0.01613983065123892	0.025687991426173472	0.05388230983883434	0.00638500487632525
G3-423	0.0552348582913815	0.14147256557713808	0.28519537240068166	0.18780379206230793	0.28808955994562335	0.06646449673033887	0.11243359172582909	0.066980405864407	0.11302434147591957	0.031033959406265493	0.0849062834864398	0.07823692912792593	0.04126616326003419	0.07973601867216773	0.0	0.07572682428439431	0.07446730908676934	0.05265438218499062	0.06798234957927977	0.06072797381636919	0.12635606788621298	0.07583496591640607
G3-424	0.0786327203695708	0.08699760510701621	0.27478742776193377	0.12206614557951813	0.27605816890845153	0.07333618663481627	0.1540347845204674	0.10194819994834928	0.059932085641052804	0.05554518429621622	0.019357091224093747	0.11564373765439136	0.072208209646052	0.11620338103294199	0.07572682428439431	0.0	0.1145887117738989	0.08638521503958409	0.10517156964476847	0.09473058362269285	0.16880453840553927	0.11235734933248048
G3-425	0.04953452751579241	0.17374407212158682	0.25890597334616017	0.20246965619080182	0.2618593673688153	0.08181134543019683	0.06464489307431226	0.02637736505091366	0.14431809005872856	0.061502922827855924	0.12118354792469749	0.027570413487464675	0.049661841514154266	0.02898303285678662	0.07446730908676934	0.1145887117738989	0.0	0.030512164595700123	0.023503682156943	0.023812814182771456	0.07770023883430645	0.02675078939531685
G3-426	0.02150672833661361	0.14436212263984494	0.25713414211735747	0.1752774627839174	0.2600875361400125	0.06781122005686642	0.09206544463336044	0.03987640822893908	0.1152649955858925	0.032697535577522724	0.09308387090496827	0.05478265400810826	0.023103245779181002	0.055687626596707375	0.05265438218499062	0.08638521503958409	0.030512164595700123	0.0	0.04029053089987339	0.03044744844603204	0.10513115992970583	0.04992292536829325
G3-427	0.061123262411790724	0.16406239939636266	0.2809621940423699	0.21406876661138582	0.2839155880650249	0.08806248854287979	0.05290782851276538	0.00582765040831743	0.13501824682833152	0.05312143001670377	0.11157047843268837	0.014922329229247848	0.05206083664751705	0.01613983065123892	0.06798234957927977	0.10517156964476847	0.023503682156943	0.04029053089987339	0.0	0.011135413232008742	0.06639190799624838	0.010506830427474828
G3-428	0.05167747064471456	0.15397319401188794	0.28086501629510585	0.2042264474151564	0.28381841031776095	0.08313303833995594	0.0633195744371256	0.010577898058867177	0.1256662090439828	0.0437330038240156	0.10152101432293376	0.024783018805625338	0.042757421496602034	0.025687991426173472	0.06072797381636919	0.09473058362269285	0.023812814182771456	0.03044744844603204	0.011135413232008742	0.0	0.07726782769041357	0.020107181701924503
G3-429	0.12551089798551618	0.22886353758960007	0.2867724214970018	0.2786066677960743	0.2897273050817667	0.13647954553239644	0.02261015905971103	0.0700521973744432	0.20050397150188817	0.11812968951822421	0.1756621402334125	0.05451375811150153	0.11571075808544311	0.05388230983883434	0.12635606788621298	0.16880453840553927	0.07770023883430645	0.10513115992970583	0.06639190799624838	0.07726782769041357	0.0	0.05820705104623691
G3-430	0.07087323206144569	0.17261656281480978	0.2836235636943078	0.2232967818531205	0.2865769577169628	0.09337980997891064	0.04425169322587079	0.013453869923712246	0.14489954805331404	0.06326635232741849	0.12026116087393801	0.005256221261622428	0.061579762722683125	0.00638500487632525	0.07583496591640607	0.11235734933248048	0.02675078939531685	0.04992292536829325	0.010506830427474828	0.020107181701924503	0.05820705104623691	0.0
