	G1-11	G1-110	G1-12	G1-130	G1-157	G1-158	G1-159	G1-19	G1-193	G2-194	G2-41	G3-42	G3-425	G3-426	G3-427	G3-428	G3-429	G3-43	G3-430	G3-44	G3-45	G3-46
G1-11	0.0	0.49776357827476037	0.49009584664536743	0.7220447284345048	0.552076677316294	0.6517571884984026	0.5424920127795527	0.6044728434504792	0.3859424920127795	0.17827476038338658	0.40447284345047924	0.3405750798722045	0.2402555910543131	0.21533546325878594	0.27092651757188496	0.2888178913738019	0.405111821086262	0.42364217252396164	0.30415335463258786	0.38722044728434507	0.48690095846645365	0.2817891373801917
G1-110	0.49776357827476037	0.0	0.48242811501597443	0.8792332268370607	0.30543130990415335	0.27284345047923325	0.08690095846645367	0.25431309904153354	0.4536741214057508	0.5060702875399361	0.16293929712460065	0.2536741214057508	0.6166134185303515	0.5789137380191693	0.5578274760383387	0.5418530351437699	0.6920127795527157	0.09712460063897764	0.5961661341853035	0.18594249201277954	0.3246006389776358	0.29201277955271565
G1-12	0.49009584664536743	0.48242811501597443	0.0	0.8773162939297124	0.23322683706070288	0.681150159744409	0.5552715654952076	0.6332268370607029	0.25559105431309903	0.4913738019169329	0.4095846645367412	0.3610223642172524	0.6370607028753994	0.5891373801916933	0.6	0.6204472843450479	0.7143769968051118	0.48753993610223645	0.6332268370607029	0.38466453674121404	0.6690095846645367	0.5712460063897764
G1-130	0.7220447284345048	0.8792332268370607	0.8773162939297124	0.0	0.8773162939297124	0.8792332268370607	0.8792332268370607	0.8792332268370607	0.8268370607028754	0.8198083067092652	0.8715654952076677	0.8779552715654952	0.7533546325878594	0.7757188498402556	0.82555910543131	0.8223642172523962	0.8511182108626199	0.8792332268370607	0.8268370607028754	0.8792332268370607	0.876038338658147	0.8792332268370607
G1-157	0.552076677316294	0.30543130990415335	0.23322683706070288	0.8773162939297124	0.0	0.476038338658147	0.334185303514377	0.4319488817891374	0.3079872204472843	0.5603833865814697	0.2613418530351438	0.25878594249201275	0.670926517571885	0.6319488817891373	0.6121405750798722	0.5942492012779552	0.7463258785942491	0.33738019169329075	0.6485623003194888	0.2600638977635783	0.5226837060702876	0.47348242811501595
G1-158	0.6517571884984026	0.27284345047923325	0.681150159744409	0.8792332268370607	0.476038338658147	0.0	0.20766773162939298	0.37507987220447286	0.6511182108626198	0.663258785942492	0.36166134185303517	0.4523961661341853	0.6447284345047923	0.6364217252396166	0.6063897763578274	0.5706070287539936	0.7201277955271566	0.2562300319488818	0.6230031948881789	0.3840255591054313	0.2440894568690096	0.3757188498402556
G1-159	0.5424920127795527	0.08690095846645367	0.5552715654952076	0.8792332268370607	0.334185303514377	0.20766773162939298	0.0	0.2856230031948882	0.5271565495207667	0.5476038338658147	0.23386581469648562	0.3271565495207668	0.65814696485623	0.6236421725239617	0.6	0.5865814696485623	0.734185303514377	0.12268370607028754	0.6408945686900959	0.2594249201277955	0.2837060702875399	0.336741214057508
G1-19	0.6044728434504792	0.25431309904153354	0.6332268370607029	0.8792332268370607	0.4319488817891374	0.37507987220447286	0.2856230031948882	0.0	0.6051118210862619	0.6146964856230032	0.35910543130990413	0.4070287539936102	0.6396166134185304	0.6038338658146964	0.5814696485623003	0.5667731629392971	0.7156549520766773	0.31757188498402555	0.6210862619808307	0.3859424920127795	0.44984025559105434	0.412779552715655
G1-193	0.3859424920127795	0.4536741214057508	0.25559105431309903	0.8268370607028754	0.3079872204472843	0.6511182108626198	0.5271565495207667	0.6051118210862619	0.0	0.30287539936102237	0.3233226837060703	0.27412140575079874	0.45878594249201277	0.3680511182108626	0.4415335463258786	0.4325878594249201	0.6057507987220447	0.4115015974440895	0.4415335463258786	0.29648562300319486	0.582108626198083	0.4830670926517572
G2-194	0.17827476038338658	0.5060702875399361	0.4913738019169329	0.8198083067092652	0.5603833865814697	0.663258785942492	0.5476038338658147	0.6146964856230032	0.30287539936102237	0.0	0.4012779552715655	0.34760383386581467	0.18083067092651758	0.11757188498402556	0.17124600638977636	0.1635782747603834	0.3354632587859425	0.4293929712460064	0.1769968051118211	0.39552715654952075	0.4939297124600639	0.29073482428115016
G2-41	0.40447284345047924	0.16293929712460065	0.4095846645367412	0.8715654952076677	0.2613418530351438	0.36166134185303517	0.23386581469648562	0.35910543130990413	0.3233226837060703	0.4012779552715655	0.0	0.11246006389776358	0.5150159744408945	0.4837060702875399	0.46134185303514375	0.4485623003194888	0.5904153354632588	0.1182108626198083	0.5015974440894568	0.04984025559105431	0.27859424920127795	0.23706070287539935
G3-42	0.3405750798722045	0.2536741214057508	0.3610223642172524	0.8779552715654952	0.25878594249201275	0.4523961661341853	0.3271565495207668	0.4070287539936102	0.27412140575079874	0.34760383386581467	0.11246006389776358	0.0	0.45878594249201277	0.42108626198083066	0.40191693290734826	0.394888178913738	0.534185303514377	0.21150159744408945	0.4383386581469649	0.07092651757188498	0.3124600638977636	0.21789137380191692
G3-425	0.2402555910543131	0.6166134185303515	0.6370607028753994	0.7533546325878594	0.670926517571885	0.6447284345047923	0.65814696485623	0.6396166134185304	0.45878594249201277	0.18083067092651758	0.5150159744408945	0.45878594249201277	0.0	0.0926517571884984	0.10607028753993611	0.08881789137380192	0.23130990415335465	0.5399361022364217	0.09520766773162939	0.5054313099041533	0.44920127795527154	0.3277955271565495
G3-426	0.21533546325878594	0.5789137380191693	0.5891373801916933	0.7757188498402556	0.6319488817891373	0.6364217252396166	0.6236421725239617	0.6038338658146964	0.3680511182108626	0.11757188498402556	0.4837060702875399	0.42108626198083066	0.0926517571884984	0.0	0.12396166134185303	0.11246006389776358	0.2888178913738019	0.5047923322683706	0.12460063897763578	0.46773162939297125	0.4728434504792332	0.2900958466453674
G3-427	0.27092651757188496	0.5578274760383387	0.6	0.82555910543131	0.6121405750798722	0.6063897763578274	0.6	0.5814696485623003	0.4415335463258786	0.17124600638977636	0.46134185303514375	0.40191693290734826	0.10607028753993611	0.12396166134185303	0.0	0.06773162939297124	0.19041533546325878	0.48115015974440895	0.04664536741214057	0.4472843450479233	0.4383386581469649	0.2766773162939297
G3-428	0.2888178913738019	0.5418530351437699	0.6204472843450479	0.8223642172523962	0.5942492012779552	0.5706070287539936	0.5865814696485623	0.5667731629392971	0.4325878594249201	0.1635782747603834	0.4485623003194888	0.394888178913738	0.08881789137380192	0.11246006389776358	0.06773162939297124	0.0	0.23706070287539935	0.46773162939297125	0.07156549520766774	0.4306709265175719	0.4070287539936102	0.2690095846645367
G3-429	0.405111821086262	0.6920127795527157	0.7143769968051118	0.8511182108626199	0.7463258785942491	0.7201277955271566	0.734185303514377	0.7156549520766773	0.6057507987220447	0.3354632587859425	0.5904153354632588	0.534185303514377	0.23130990415335465	0.2888178913738019	0.19041533546325878	0.23706070287539935	0.0	0.615335463258786	0.18146964856230033	0.5814696485623003	0.5028753993610223	0.4038338658146965
G3-43	0.42364217252396164	0.09712460063897764	0.48753993610223645	0.8792332268370607	0.33738019169329075	0.2562300319488818	0.12268370607028754	0.31757188498402555	0.4115015974440895	0.4293929712460064	0.1182108626198083	0.21150159744408945	0.5399361022364217	0.5047923322683706	0.48115015974440895	0.46773162939297125	0.615335463258786	0.0	0.5220447284345048	0.14376996805111822	0.23130990415335465	0.21789137380191692
G3-430	0.30415335463258786	0.5961661341853035	0.6332268370607029	0.8268370607028754	0.6485623003194888	0.6230031948881789	0.6408945686900959	0.6210862619808307	0.4415335463258786	0.1769968051118211	0.5015974440894568	0.4383386581469649	0.09520766773162939	0.12460063897763578	0.04664536741214057	0.07156549520766774	0.18146964856230033	0.5220447284345048	0.0	0.4849840255591054	0.4536741214057508	0.3111821086261981
G3-44	0.38722044728434507	0.18594249201277954	0.38466453674121404	0.8792332268370607	0.2600638977635783	0.3840255591054313	0.2594249201277955	0.3859424920127795	0.29648562300319486	0.39552715654952075	0.04984025559105431	0.07092651757188498	0.5054313099041533	0.46773162939297125	0.4472843450479233	0.4306709265175719	0.5814696485623003	0.14376996805111822	0.4849840255591054	0.0	0.2888178913738019	0.2146964856230032
G3-45	0.48690095846645365	0.3246006389776358	0.6690095846645367	0.876038338658147	0.5226837060702876	0.2440894568690096	0.2837060702875399	0.44984025559105434	0.582108626198083	0.4939297124600639	0.27859424920127795	0.3124600638977636	0.44920127795527154	0.4728434504792332	0.4383386581469649	0.4070287539936102	0.5028753993610223	0.23130990415335465	0.4536741214057508	0.2888178913738019	0.0	0.21277955271565496
G3-46	0.2817891373801917	0.29201277955271565	0.5712460063897764	0.8792332268370607	0.47348242811501595	0.3757188498402556	0.336741214057508	0.412779552715655	0.4830670926517572	0.29073482428115016	0.23706070287539935	0.21789137380191692	0.3277955271565495	0.2900958466453674	0.2766773162939297	0.2690095846645367	0.4038338658146965	0.21789137380191692	0.3111821086261981	0.2146964856230032	0.21277955271565496	0.0
